customer_id,Segment,Action,Coupon,Priority,Est_ROI
C000001,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000002,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000003,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000004,Standard,No Action,None,Low,Low
C000005,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000006,Standard,No Action,None,Low,Low
C000007,Standard,No Action,None,Low,Low
C000008,Standard,No Action,None,Low,Low
C000009,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000010,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000011,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000012,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000013,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000014,Standard,No Action,None,Low,Low
C000015,Standard,No Action,None,Low,Low
C000016,Standard,No Action,None,Low,Low
C000017,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000018,Standard,No Action,None,Low,Low
C000019,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000020,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000021,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000022,Standard,No Action,None,Low,Low
C000023,Standard,No Action,None,Low,Low
C000024,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000025,Standard,No Action,None,Low,Low
C000026,Standard,No Action,None,Low,Low
C000027,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000028,Champions,Early Access to Flash Sale,None,Medium,Low
C000029,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000030,Standard,No Action,None,Low,Low
C000031,Champions,Early Access to Flash Sale,None,Medium,Low
C000032,Champions,Early Access to Flash Sale,None,Medium,Low
C000033,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000034,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000035,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000036,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000037,Standard,No Action,None,Low,Low
C000038,Standard,No Action,None,Low,Low
C000039,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000040,Standard,No Action,None,Low,Low
C000041,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000042,Standard,No Action,None,Low,Low
C000043,Standard,No Action,None,Low,Low
C000044,Champions,Early Access to Flash Sale,None,Medium,Low
C000045,Standard,No Action,None,Low,Low
C000046,Standard,No Action,None,Low,Low
C000047,Champions,Early Access to Flash Sale,None,Medium,Low
C000048,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000049,Standard,No Action,None,Low,Low
C000050,Standard,No Action,None,Low,Low
C000051,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000052,Champions,Early Access to Flash Sale,None,Medium,Low
C000053,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000054,Champions,Early Access to Flash Sale,None,Medium,Low
C000055,Champions,Early Access to Flash Sale,None,Medium,Low
C000056,Standard,No Action,None,Low,Low
C000057,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000058,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000059,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000060,Standard,No Action,None,Low,Low
C000061,Standard,No Action,None,Low,Low
C000062,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000063,Standard,No Action,None,Low,Low
C000064,Standard,No Action,None,Low,Low
C000065,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000066,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000067,Standard,No Action,None,Low,Low
C000068,Standard,No Action,None,Low,Low
C000069,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000070,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000071,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000072,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000073,Standard,No Action,None,Low,Low
C000074,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000075,Standard,No Action,None,Low,Low
C000076,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000077,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000078,Standard,No Action,None,Low,Low
C000079,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000080,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000081,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000082,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000083,Standard,No Action,None,Low,Low
C000084,At Risk,Standard 10% Coupon,MISSYOU10,Medium,Low
C000085,Champions,Early Access to Flash Sale,None,Medium,Low
C000086,Standard,No Action,None,Low,Low
C000087,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000088,Standard,No Action,None,Low,Low
C000089,Standard,No Action,None,Low,Low
C000090,Standard,No Action,None,Low,Low
C000091,Standard,No Action,None,Low,Low
C000092,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000093,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000094,Standard,No Action,None,Low,Low
C000095,Standard,No Action,None,Low,Low
C000096,Standard,No Action,None,Low,Low
C000097,Standard,No Action,None,Low,Low
C000098,Standard,No Action,None,Low,Low
C000099,Champions,Early Access to Flash Sale,None,Medium,Low
C000100,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000101,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000102,Standard,No Action,None,Low,Low
C000103,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000104,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000105,Standard,No Action,None,Low,Low
C000106,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
C000107,Standard,No Action,None,Low,Low
C000108,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000109,Standard,No Action,None,Low,Low
C000110,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000111,Standard,No Action,None,Low,Low
C000112,Loyal Customers,Free Shipping Voucher,SHIPFREE,High,High
C000113,Standard,No Action,None,Low,Low
C000114,Champions,Early Access to Flash Sale,None,Medium,Low
C000115,Standard,No Action,None,Low,Low
C000116,At Risk,Win-back 20% Discount,COMEBACK20,Critical,High
