customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
C000001,89,9,101350.04000000001,1,5,4,154,At Risk
C000002,81,5,42247.99999999999,1,3,2,132,At Risk
C000003,8,7,88867.81,5,4,4,544,Loyal Customers
C000004,20,2,17410.2,3,1,1,311,Standard
C000005,125,2,47310.43,1,1,3,113,At Risk
C000006,20,9,123130.19,3,5,5,355,Standard
C000007,22,8,161723.02,3,4,5,345,Standard
C000008,43,12,169755.97,2,5,5,255,Standard
C000009,2,9,109572.07,5,5,4,554,Loyal Customers
C000010,18,15,163359.57,4,5,5,455,Loyal Customers
C000011,11,10,115599.41,4,5,5,455,Loyal Customers
C000012,12,9,87673.02,4,5,4,454,Loyal Customers
C000013,73,7,127379.51,1,4,5,145,At Risk
C000014,19,7,117011.74,3,4,5,345,Standard
C000015,53,10,149524.88,2,5,5,255,Standard
C000016,20,12,301660.85,3,5,5,355,Standard
C000017,119,8,146762.35,1,4,5,145,At Risk
C000018,19,9,73615.14,3,5,3,353,Standard
C000019,14,8,135187.02,4,4,5,445,Loyal Customers
C000020,86,11,142367.56,1,5,5,155,At Risk
C000021,83,11,170868.03,1,5,5,155,At Risk
C000022,44,8,130107.76999999999,2,4,5,245,Standard
C000023,51,11,115205.14,2,5,4,254,Standard
C000024,18,13,125282.02,4,5,5,455,Loyal Customers
C000025,45,13,128575.48,2,5,5,255,Standard
C000026,34,12,106486.73,2,5,4,254,Standard
C000027,12,9,210296.33,4,5,5,455,Loyal Customers
C000028,1,9,167041.56,5,5,5,555,Champions
C000029,8,12,92873.58,5,5,4,554,Loyal Customers
C000030,28,13,164464.09,2,5,5,255,Standard
C000031,8,13,288182.2,5,5,5,555,Champions
C000032,7,13,248738.45,5,5,5,555,Champions
C000033,17,11,220826.76,4,5,5,455,Loyal Customers
C000034,8,8,96771.4,5,4,4,544,Loyal Customers
C000035,1120,2,62223.22,1,1,3,113,At Risk
C000036,3,2,7931.35,5,1,1,511,Loyal Customers
C000037,21,17,421153.74,3,5,5,355,Standard
C000038,39,8,124874.19,2,4,5,245,Standard
C000039,10,15,247502.53,4,5,5,455,Loyal Customers
C000040,25,12,185710.22,3,5,5,355,Standard
C000041,9,5,50097.42,5,3,3,533,Loyal Customers
C000042,54,12,119042.16,2,5,5,255,Standard
C000043,41,8,49126.6,2,4,3,243,Standard
C000044,9,12,126725.16,5,5,5,555,Champions
C000045,48,10,125370.82,2,5,5,255,Standard
C000046,23,6,141800.52,3,3,5,335,Standard
C000047,1,13,202499.44,5,5,5,555,Champions
C000048,15,14,153139.82,4,5,5,455,Loyal Customers
C000049,40,4,16218.89,2,2,1,221,Standard
C000050,32,13,136558.08,2,5,5,255,Standard
C000051,272,6,91885.72,1,3,4,134,At Risk
C000052,1,17,174878.93,5,5,5,555,Champions
C000053,178,12,95092.66,1,5,4,154,At Risk
C000054,4,14,215850.35,5,5,5,555,Champions
C000055,2,12,225749.93000000002,5,5,5,555,Champions
C000056,19,15,151740.18,3,5,5,355,Standard
C000057,16,11,121245.0,4,5,5,455,Loyal Customers
C000058,17,15,300801.59,4,5,5,455,Loyal Customers
C000059,10,8,205292.26,4,4,5,445,Loyal Customers
C000060,32,11,121263.11,2,5,5,255,Standard
C000061,27,10,143108.9,2,5,5,255,Standard
C000062,79,8,64576.83,1,4,3,143,At Risk
C000063,25,8,33517.91,3,4,2,342,Standard
C000064,31,11,263633.46,2,5,5,255,Standard
C000065,88,10,88585.63,1,5,4,154,At Risk
C000066,77,5,50333.32,1,3,3,133,At Risk
C000067,30,17,268777.92,2,5,5,255,Standard
C000068,20,5,78892.39,3,3,4,334,Standard
C000069,16,9,142930.47,4,5,5,455,Loyal Customers
C000070,91,10,145700.58,1,5,5,155,At Risk
